@TYPE	xy	xy	xy
@	subtitle	subtitle	subtitle
16,2800007	0,309716	0,1729952	0,2093942
16,3200016	0,3264285	0,1760116	0,2095697
16,3600006	0,2997899	0,1554186	0,2036214
16,4000015	0,3725186	0,1612403	0,2028852
16,4400005	0,3054612	0,1642099	0,206452
16,4800014	0,3210811	0,1617882	0,2053115
16,5200005	0,3398003	0,1648759	0,191112
16,5600014	0,3576804	0,1737304	0,1909637
16,6000004	0,3238284	0,1618001	0,1843209
16,6400013	0,2701145	0,1567241	0,1850307
16,6800003	0,279291	0,1748147	0,196004
16,7200012	0,2720107	0,1732177	0,1984479
16,7600002	0,2784587	0,177181	0,1968282
16,8000011	0,3017171	0,1720569	0,1972584
16,8400002	0,2767202	0,1693826	0,2059075
16,8800011	0,2834891	0,1653071	0,2015144
16,9200001	0,2676793	0,164907	0,1938863
16,960001	0,2839327	0,1713155	0,2020598
17	0,2931145	0,1758226	0,2047182
17,0400009	0,2736662	0,177477	0,2011499
17,0799999	0,2872722	0,1836424	0,2020316
17,1200008	0,3596481	0,1693086	0,1996662
17,1600018	0,2859997	0,1755895	0,207435
17,2000008	0,3410321	0,1532181	0,1912305
17,2400017	0,2876489	0,1522288	0,1911131
17,2800007	0,2788861	0,1635718	0,1968227
17,3200016	0,2192746	0,1582731	0,1997353
17,3600006	0,292523	0,1679421	0,1989803
17,4000015	0,2969041	0,1682059	0,1975763
17,4400005	0,2420623	0,165315	0,1977082
17,4800014	0,2139699	0,1764182	0,1924506
17,5200005	0,2059915	0,1710313	0,2026107
17,5600014	0,2285981	0,1725157	0,2001961
17,6000004	0,1794712	0,1601936	0,1927541
17,6400013	0,1840334	0,1533517	0,1853726
17,6800003	0,236114	0,1532378	0,1827308
17,7200012	0,1985931	0,1489	0,1960556
17,7600002	0,1943302	0,1642445	0,2017546
17,8000011	0,1999436	0,1531004	0,1829439
17,8400002	0,2154817	0,1653029	0,186575
17,8800011	0,2421524	0,1610413	0,1846244
17,9200001	0,2343293	0,1659873	0,1881676
17,960001	0,2060417	0,1594133	0,1934213
18	0,1886406	0,1583692	0,1825318
18,0400009	0,2096943	0,1594925	0,18377
18,0799999	0,2411336	0,1600774	0,1857794
18,1200008	0,1692547	0,1530251	0,1974364
18,1600018	0,1914528	0,1537609	0,1874959
18,2000008	0,2006075	0,1345905	0,176751
18,2400017	0,211569	0,149428	0,1943502
18,2800007	0,1956924	0,1525168	0,1889321
18,3200016	0,2108328	0,1605241	0,1889022
18,3600006	0,2309248	0,1618911	0,192906
18,4000015	0,1886584	0,1564244	0,1856931
18,4400005	0,2049872	0,1541738	0,1950832
18,4800014	0,2084423	0,1522365	0,1926774
18,5200005	0,2195036	0,1514704	0,1912673
18,5600014	0,1928383	0,1562002	0,1927909
18,6000004	0,1976639	0,1404554	0,1865128
18,6400013	0,2185324	0,1551618	0,1936556
18,6800003	0,2229184	0,1542348	0,1808788
18,7200012	0,2191736	0,1450257	0,1848465
18,7600002	0,2576368	0,1719644	0,192251
18,8000011	0,2248767	0,1680092	0,198466
18,8400002	0,2252538	0,1643084	0,1867058
18,8800011	0,2141231	0,1738117	0,2022086
18,9200001	0,2152579	0,1685039	0,195517
18,960001	0,2457784	0,1537198	0,186661
19	0,2427689	0,1458237	0,1917131
19,0400009	0,2517433	0,1443972	0,1777221
19,0800018	0,2260732	0,1549596	0,1781744
19,1200008	0,2372088	0,1447023	0,179513
19,1600018	0,242485	0,1500247	0,1965897
19,2000008	0,2107303	0,1486153	0,1985244
19,2400017	0,2073631	0,1393653	0,1848567
19,2800007	0,1901526	0,1360268	0,184586
19,3200016	0,1844246	0,1362253	0,183309
19,3600006	0,2048265	0,1396866	0,1815343
19,4000015	0,2038757	0,1436838	0,1968386
19,4400005	0,1958504	0,1578402	0,2020302
19,4800014	0,209042	0,1633724	0,2007485
19,5200005	0,1564825	0,1587807	0,2006773
19,5600014	0,2118874	0,1673143	0,1976126
19,6000004	0,1848334	0,1522838	0,2047061
19,6400013	0,1896045	0,1512859	0,1973607
19,6800003	0,1843902	0,1600295	0,1964606
19,7200012	0,1989489	0,1628145	0,2007567
19,7600002	0,2167358	0,1767419	0,1998307
19,8000011	0,2213983	0,183882	0,2016886
19,8400002	0,1911368	0,1545542	0,1925398
19,8800011	0,1794138	0,164312	0,1999627
19,9200001	0,1861409	0,1698624	0,2094229
19,960001	0,1994413	0,168048	0,1946754
20	0,1850898	0,1805558	0,198698
20,0400009	0,2227886	0,1677302	0,2034447
20,0800018	0,1744788	0,1675835	0,1983443
20,1200008	0,2285686	0,1660402	0,193558
20,1600018	0,2244056	0,1668096	0,1928112
20,2000008	0,2488757	0,160518	0,1871468
20,2400017	0,1923706	0,1615417	0,1866305
20,2800007	0,193378	0,1556935	0,1898382
20,3200016	0,2216744	0,1491701	0,1903593
20,3600006	0,1869203	0,150037	0,1933062
20,4000015	0,1865178	0,1510602	0,1848883
20,4400005	0,2091102	0,149427	0,1857218
20,4800014	0,1978266	0,1494301	0,1882352
20,5200005	0,2253111	0,1569865	0,1865096
20,5600014	0,197257	0,1589829	0,2014632
20,6000004	0,2031825	0,1593082	0,1999319
20,6400013	0,209657	0,1520567	0,187722
20,6800003	0,1981755	0,1432609	0,186736
20,7200012	0,2019303	0,1620717	0,2018716
20,7600002	0,193213	0,1524846	0,1870156
20,8000011	0,1937186	0,1527713	0,1769463
20,8400002	0,1884127	0,1641144	0,1992715
20,8800011	0,1760889	0,1660572	0,1937719
20,9200001	0,1849325	0,1478831	0,177333
20,960001	0,1583555	0,155289	0,185572
21,0000019	0,2256569	0,151805	0,1896993
21,0400009	0,1823409	0,1556165	0,1898096
21,0800018	0,1678735	0,1656363	0,1856399
21,1200008	0,160429	0,1532217	0,1904558
21,1600018	0,1965335	0,1682722	0,1856199
21,2000008	0,2128418	0,1680577	0,1915965
21,2400017	0,1767565	0,171946	0,1926617
21,2800007	0,1399411	0,1598705	0,1951516
21,3200016	0,1827458	0,1526418	0,1888799
21,3600006	0,1592131	0,1740611	0,198217
21,4000015	0,1741653	0,1707146	0,1893587
21,4400005	0,1808377	0,1570304	0,1830399
21,4800014	0,1841169	0,1442842	0,1720366
21,5200005	0,156053	0,141618	0,1874497
21,5600014	0,2082956	0,1337099	0,1813872
