@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
15,8000011	0,137898	0,131392	0,1156858	0,1515888	
15,8400011	0,1483939	0,1225192	0,122155	0,1428867	
15,8800011	0,1450997	0,1204133	0,1322196	0,1421712	
15,920001	0,1368125	0,126014	0,1067006	0,1471314	
15,960001	0,1308738	0,1202988	0,1028381	0,143639	
16	0,1370547	0,1425763	0,1047041	0,1432182	
16,0400009	0,1139711	0,1241517	0,0933307	0,1492618	
16,0799999	0,1358007	0,1359122	0,1079796	0,136102	
16,1200008	0,1294063	0,1304095	0,1062625	0,1386466	
16,1599998	0,1366869	0,1259784	0,1177605	0,1325486	
16,2000008	0,1384979	0,1467603	0,1145035	0,13701	
16,2400017	0,1436649	0,1364438	0,121438	0,1401788	
16,2800007	0,1243957	0,1023353	0,1281532	0,1502571	
16,3200016	0,1526672	0,1140697	0,1416809	0,1600221	
16,3600006	0,1472325	0,1254448	0,1386095	0,1576272	
16,4000015	0,1375522	0,1224292	0,1292417	0,1405122	
16,4400005	0,1464139	0,1369421	0,1369672	0,1689782	
16,4800014	0,1213103	0,1091393	0,1130984	0,1583876	
16,5200005	0,1325665	0,1133969	0,119661	0,1488532	
16,5600014	0,1258036	0,1159562	0,1256632	0,1572733	
16,6000004	0,1396625	0,1160863	0,1347236	0,1539412	
16,6400013	0,1286461	0,1123738	0,1296673	0,1369204	
16,6800003	0,1475326	0,1225842	0,1337268	0,1618112	
16,7200012	0,1470049	0,1094813	0,1435635	0,1642617	
16,7600002	0,1393635	0,1051915	0,1334872	0,1427761	
16,8000011	0,1263983	0,1031777	0,128209	0,1443235	
16,8400002	0,1203624	0,1092235	0,116849	0,1464713	
16,8800011	0,1317259	0,1190408	0,1160192	0,1566621	
16,9200001	0,1173128	0,1018416	0,126546	0,1500641	
16,960001	0,1234668	0,1068177	0,1236371	0,1428152	
17	0,1209684	0,0943603	0,1314185	0,1458096	
17,0400009	0,1321185	0,1254581	0,1310565	0,1386808	
17,0799999	0,1293261	0,1232078	0,1261411	0,1324901	
17,1200008	0,140889	0,1329557	0,1357621	0,1423269	
17,1600018	0,1148587	0,111539	0,114771	0,1382866	
17,2000008	0,1315015	0,1196332	0,1331306	0,1369974	
17,2400017	0,1430286	0,1313043	0,1303454	0,1456206	
17,2800007	0,1350082	0,1212192	0,1344292	0,1393191	
17,3200016	0,1289016	0,1242308	0,1283928	0,1362738	
17,3600006	0,1318461	0,1239104	0,1347249	0,1460554	
17,4000015	0,134982	0,1296297	0,1202081	0,1334809	
17,4400005	0,1300282	0,1177067	0,1248478	0,134239	
17,4800014	0,1250127	0,1130374	0,1098229	0,129727	
17,5200005	0,1365238	0,1197372	0,1160065	0,1414858	
17,5600014	0,1296634	0,1130259	0,0980213	0,1444778	
17,6000004	0,1328231	0,1252629	0,1150845	0,1465902	
17,6400013	0,1344305	0,1196321	0,1138196	0,1455353	
17,6800003	0,1286136	0,1120251	0,125751	0,1404354	
17,7200012	0,1249	0,1251982	0,1199838	0,1323081	
17,7600002	0,1390521	0,1359962	0,1251272	0,127944	
17,8000011	0,1413878	0,1565467	0,1064174	0,1337589	
17,8400002	0,1412965	0,1436392	0,1162696	0,1411003	
17,8800011	0,1702655	0,1629378	0,1544458	0,1481339	
17,9200001	0,1378297	0,1442262	0,1250703	0,1422467	
17,960001	0,144498	0,1273356	0,136326	0,1494455	
18	0,14377	0,149252	0,1327798	0,1330866	
18,0400009	0,1424821	0,1352532	0,1248232	0,1344379	
18,0799999	0,1516765	0,1404045	0,1357362	0,1469858	
